index,Region_Code,Cost_Call,Total_Charge,Total_Minutes,Total_Calls,Min_Call
146,1,5.12,55.09,567.3,282,2.01
147,2,4.4,73.16,620.6,322,1.93
148,5,5.54,58.99,570.0,327,1.74
149,4,3.84,73.5,717.8,282,2.55
150,3,4.76,62.38,598.1,297,2.01
151,3,6.28,51.24,618.6,322,1.92
152,3,5.64,57.6,580.3,325,1.79
153,4,5.66,67.72,621.9,383,1.62
154,6,3.5,71.92,687.4,252,2.73
155,5,5.14,69.83,746.5,359,2.08
156,3,4.06,87.89,734.5,357,2.06
157,5,5.37,63.15,677.5,339,2.0
158,3,4.23,63.82,629.1,270,2.33
159,5,7.46,49.76,499.9,371,1.35
160,5,6.77,45.92,453.1,311,1.46
161,5,4.58,72.09,724.1,330,2.19
162,3,4.96,65.57,668.9,325,2.06
163,3,7.29,42.26,483.1,308,1.57
164,6,5.87,56.87,528.2,334,1.58
165,5,3.97,73.06,697.7,290,2.41
166,5,6.46,60.1,625.4,388,1.61
167,7,4.63,69.71,717.4,323,2.22
168,6,5.92,53.58,482.1,317,1.52
169,5,3.64,63.81,578.6,232,2.49
170,2,4.33,67.25,571.2,291,1.96
171,4,5.03,55.65,527.1,280,1.88
172,6,5.23,53.2,610.2,278,2.19
173,1,7.05,47.09,492.2,332,1.48
174,5,5.21,62.62,619.4,326,1.9
175,3,5.03,68.0,603.6,342,1.76
176,3,5.93,53.26,544.9,316,1.72
177,3,4.64,65.75,638.2,305,2.09
178,5,4.87,59.73,591.8,291,2.03
179,3,4.72,73.36,725.6,346,2.1
180,5,5.51,67.01,703.3,369,1.91
181,7,9.79,31.05,345.6,304,1.14
182,4,6.38,50.17,533.1,320,1.67
183,4,4.32,66.83,669.0,289,2.31
184,5,4.28,73.33,647.7,314,2.06
185,6,5.27,73.02,734.8,385,1.91
186,4,7.25,44.13,431.7,320,1.35
187,6,4.2,72.09,589.2,303,1.94
188,2,6.77,52.02,519.9,352,1.48
189,1,4.6,68.3,660.1,314,2.1
190,2,6.54,45.54,435.4,298,1.46
191,6,5.56,51.06,515.1,284,1.81
192,5,4.28,64.01,622.0,274,2.27
193,2,6.64,51.02,504.1,339,1.49
194,6,3.58,71.31,584.7,255,2.29
195,5,4.6,58.69,562.4,270,2.08
196,5,6.65,55.33,603.1,368,1.64
197,6,3.53,81.57,695.2,288,2.41
198,4,4.05,81.98,761.7,332,2.29
199,7,5.99,43.73,518.7,262,1.98
200,3,6.57,58.3,629.2,383,1.64
201,5,4.47,72.94,766.7,326,2.35
202,5,4.57,65.25,648.9,298,2.18
203,3,4.85,50.68,543.0,246,2.21
204,1,4.76,59.3,617.7,282,2.19
205,3,5.69,47.81,519.0,272,1.91
206,3,4.34,60.37,521.2,262,1.99
207,1,4.59,61.89,615.2,284,2.17
208,5,4.58,64.26,638.1,294,2.17
209,4,4.11,72.33,705.8,297,2.38
210,5,4.39,65.82,596.5,289,2.06
211,6,4.56,67.6,657.3,308,2.13
212,4,5.54,55.56,532.8,308,1.73
213,6,7.31,52.5,539.7,384,1.41
214,5,4.7,65.97,545.6,310,1.76
215,5,5.57,58.9,594.6,328,1.81
216,5,5.51,52.28,521.2,288,1.81
217,5,4.14,62.87,674.3,260,2.59
218,5,4.7,75.54,681.3,355,1.92
219,5,5.86,57.68,528.9,338,1.56
220,1,5.59,57.02,560.6,319,1.76
221,5,5.12,56.82,595.6,291,2.05
222,5,5.47,57.44,633.6,314,2.02
223,4,6.14,56.21,574.7,345,1.67
224,6,7.22,39.77,483.4,287,1.68
225,3,4.87,68.19,700.7,332,2.11
226,3,4.43,68.02,680.8,301,2.26
227,3,5.63,53.8,461.9,303,1.52
228,5,4.37,76.12,650.9,333,1.95
229,5,4.07,70.6,685.0,287,2.39
230,5,3.72,76.67,669.5,285,2.35
231,3,4.53,70.45,698.9,319,2.19
232,6,5.34,64.77,614.5,346,1.78
233,2,5.22,57.31,554.3,299,1.85
234,2,5.85,62.78,655.6,367,1.79
235,3,6.33,52.27,549.5,331,1.66
236,3,5.87,57.54,565.3,338,1.67
237,3,7.87,41.04,477.3,323,1.48
238,2,9.53,37.58,441.8,358,1.23
239,5,5.28,55.83,510.0,295,1.73
240,4,5.21,57.21,516.7,298,1.73
241,2,5.87,47.73,504.6,280,1.8
242,3,4.55,73.26,720.0,333,2.16
243,5,4.0,63.95,603.3,256,2.36
244,5,3.16,75.02,830.6,237,3.5
245,5,6.75,44.57,488.6,301,1.62
246,4,8.64,33.67,435.1,291,1.5
247,3,3.44,64.74,658.1,223,2.95
248,6,4.57,61.66,639.3,282,2.27
249,6,5.8,63.28,672.2,367,1.83
250,1,5.07,53.09,568.4,269,2.11
251,4,5.6,62.48,586.1,350,1.67
252,5,4.43,65.21,621.4,289,2.15
253,3,5.58,53.01,595.4,296,2.01
254,6,4.83,58.6,605.9,283,2.14
255,5,5.38,58.2,569.6,313,1.82
256,7,6.51,51.28,552.3,334,1.65
257,6,6.36,48.26,542.5,307,1.77
258,3,8.23,38.78,475.3,319,1.49
259,2,5.08,56.35,568.6,286,1.99
260,3,4.81,58.03,612.1,279,2.19
261,3,5.32,49.27,516.9,262,1.97
262,6,5.77,53.76,551.3,310,1.78
263,5,5.19,61.64,643.0,320,2.01
264,5,3.7,69.98,611.8,259,2.36
265,5,3.53,73.35,769.2,259,2.97
266,4,4.74,67.53,659.6,320,2.06
267,4,5.06,53.53,586.2,271,2.16
268,3,8.4,35.48,382.5,298,1.28
269,4,6.05,53.1,530.1,321,1.65
270,4,4.68,69.43,696.0,325,2.14
271,6,6.31,49.32,523.3,311,1.68
272,5,4.39,67.88,663.8,298,2.23
273,2,4.65,65.35,643.4,304,2.12
274,4,5.13,55.71,595.1,286,2.08
275,1,4.75,65.5,585.5,311,1.88
276,7,4.12,67.04,641.3,276,2.32
277,3,5.0,54.16,533.9,271,1.97
278,5,3.84,66.34,683.7,255,2.68
279,4,5.21,66.23,656.7,345,1.9
280,2,5.85,56.06,547.5,328,1.67
281,3,4.4,63.17,613.0,278,2.21
282,7,4.72,59.35,527.9,280,1.89
283,3,3.73,75.42,759.3,281,2.7
284,5,4.38,63.54,667.5,278,2.4
285,3,5.45,55.56,590.9,303,1.95
286,3,5.48,57.1,537.7,313,1.72
287,3,3.76,69.76,719.6,262,2.75
288,5,4.11,61.83,609.3,254,2.4
289,6,3.37,89.31,882.2,301,2.93
290,4,4.3,73.48,757.3,316,2.4
291,3,8.77,36.14,363.4,317,1.15
292,3,6.13,54.79,523.7,336,1.56
293,4,5.76,52.07,519.2,300,1.73
294,3,4.94,55.03,575.4,272,2.12
295,3,6.11,62.33,610.4,381,1.6
296,7,5.36,44.76,485.9,240,2.02
297,5,4.87,56.49,594.2,275,2.16
298,4,5.22,66.33,647.9,346,1.87
299,3,4.87,62.58,675.7,305,2.22
300,5,5.46,50.57,489.4,276,1.77
301,5,5.02,78.74,744.5,395,1.88
302,4,3.54,75.15,829.1,266,3.12
303,3,4.81,65.03,700.7,313,2.24
304,6,5.93,49.61,570.0,294,1.94
305,3,4.18,71.24,665.7,298,2.23
306,4,4.25,81.0,762.9,344,2.22
307,3,3.83,77.76,656.5,298,2.2
308,4,4.82,60.56,579.5,292,1.98
309,3,4.18,71.24,678.0,298,2.28
310,3,4.01,76.5,747.6,307,2.44
311,6,4.46,67.7,625.4,302,2.07
312,5,3.68,62.2,606.1,229,2.65
313,4,6.56,51.71,589.2,339,1.74
314,2,5.77,55.29,603.9,319,1.89
315,4,7.23,45.23,502.9,327,1.54
316,5,5.39,52.85,559.6,285,1.96
317,4,5.12,50.55,529.8,259,2.05
318,2,4.51,71.16,722.3,321,2.25
319,3,4.06,63.56,576.6,258,2.23
320,4,3.86,66.6,729.1,257,2.84
321,2,5.48,50.33,548.3,276,1.99
322,5,5.06,58.69,640.5,297,2.16
323,1,6.42,50.0,595.8,321,1.86
324,5,5.22,63.01,620.4,329,1.89
325,4,8.87,37.43,437.7,332,1.32
326,5,5.07,41.42,486.7,210,2.32
327,5,4.55,70.28,640.5,320,2.0
328,3,4.92,64.02,616.3,315,1.96
329,6,4.68,62.81,539.9,294,1.84
330,5,4.89,67.25,643.1,329,1.95
331,2,3.42,78.93,728.2,270,2.7
332,5,7.72,48.08,476.0,371,1.28
333,5,4.25,63.07,649.3,268,2.42
334,2,4.45,59.73,594.8,266,2.24
335,5,4.04,58.2,530.9,235,2.26
336,5,4.06,62.36,621.5,253,2.46
337,1,5.89,63.53,680.5,374,1.82
338,1,4.12,74.02,720.6,305,2.36
339,7,4.45,67.04,614.4,298,2.06
340,5,3.98,65.5,661.3,261,2.53
341,3,5.45,68.31,725.6,372,1.95
342,3,3.96,65.48,625.2,259,2.41
343,3,7.25,36.97,485.5,268,1.81
344,5,6.68,44.43,417.2,297,1.4
345,5,5.6,67.48,581.6,378,1.54
346,3,5.91,52.98,558.1,313,1.78
347,4,5.46,61.93,573.0,338,1.7
348,6,6.84,49.58,458.9,339,1.35
349,5,4.98,41.57,468.6,207,2.26
350,7,4.97,61.83,628.4,307,2.05
351,5,3.36,70.75,701.8,238,2.95
352,5,7.15,46.7,431.1,334,1.29
353,7,4.46,61.44,605.3,274,2.21
354,5,3.68,71.02,662.1,261,2.54
355,4,6.2,48.03,471.8,298,1.58
356,1,4.1,69.95,650.7,287,2.27
357,6,6.31,49.94,492.4,315,1.56
358,3,5.7,51.01,484.3,291,1.66
359,5,5.43,57.62,599.0,313,1.91
360,2,3.31,80.87,761.1,268,2.84
361,5,5.29,50.86,568.4,269,2.11
362,3,6.48,57.07,608.1,370,1.64
363,5,5.61,64.85,654.1,364,1.8
364,6,5.04,57.33,579.0,289,2.0
365,2,3.02,92.2,831.3,278,2.99
366,5,5.3,63.56,595.1,337,1.77
367,5,6.61,51.17,604.6,338,1.79
368,3,8.6,42.57,469.9,366,1.28
369,4,4.38,67.75,644.3,297,2.17
370,5,4.33,65.42,641.5,283,2.27
371,6,4.72,65.43,655.7,309,2.12
372,1,3.87,62.24,614.0,241,2.55
373,4,5.14,59.09,576.8,304,1.9
374,6,3.79,63.31,676.0,240,2.82
375,3,5.18,60.59,539.1,314,1.72
376,7,6.35,50.52,487.8,321,1.52
377,3,5.45,65.18,653.0,355,1.84
378,3,4.45,64.53,662.1,287,2.31
379,3,4.92,63.56,621.6,313,1.99
380,3,3.69,71.21,666.4,263,2.53
381,6,5.93,53.75,561.7,319,1.76
382,1,4.8,55.05,576.4,264,2.18
383,3,4.02,71.9,748.0,289,2.59
384,3,5.14,58.52,601.7,301,2.0
385,3,4.43,69.96,666.0,310,2.15
386,4,4.03,65.09,750.9,262,2.87
387,4,3.97,61.22,551.3,243,2.27
388,3,6.86,49.87,531.1,342,1.55
389,5,4.85,57.27,659.8,278,2.37
390,5,5.13,62.01,638.0,318,2.01
391,4,6.52,51.84,585.6,338,1.73
392,5,5.69,63.92,627.9,364,1.73
393,4,4.14,65.25,617.4,270,2.29
394,3,4.17,66.91,612.3,279,2.19
395,5,4.45,62.71,489.0,279,1.75
396,6,6.49,51.77,549.5,336,1.64
397,1,4.49,74.67,749.9,335,2.24
398,3,6.89,52.66,507.2,363,1.4
399,7,4.74,59.48,599.6,282,2.13
400,5,5.97,52.62,578.6,314,1.84
401,2,5.49,60.67,582.6,333,1.75
402,2,5.76,51.23,513.0,295,1.74
403,5,5.6,62.0,557.8,347,1.61
404,3,4.74,62.84,634.3,298,2.13
405,3,4.05,70.06,633.1,284,2.23
406,3,5.77,47.11,509.9,272,1.87
407,5,5.97,53.6,547.7,320,1.71
408,4,5.4,51.86,523.9,280,1.87
409,6,5.89,57.51,556.7,339,1.64
410,1,4.94,53.81,531.4,266,2.0
411,2,6.14,43.66,482.8,268,1.8
412,3,3.72,73.83,676.3,275,2.46
413,5,4.64,70.93,651.3,329,1.98
414,1,4.99,51.93,522.9,259,2.02
415,5,3.18,77.88,769.7,248,3.1
416,5,5.7,53.67,548.9,306,1.79
417,6,4.21,67.72,634.0,285,2.22
418,3,4.28,55.84,592.4,239,2.48
419,2,4.0,70.69,731.1,283,2.58
420,6,5.7,67.88,652.4,387,1.69
421,3,4.81,66.76,528.6,321,1.65
422,4,4.0,70.97,696.7,284,2.45
423,3,4.43,68.87,663.0,305,2.17
424,7,5.66,60.79,563.1,344,1.64
425,4,6.03,60.73,594.5,366,1.62
426,4,8.13,41.94,428.5,341,1.26
427,4,6.07,48.59,548.2,295,1.86
428,6,5.63,58.61,590.5,330,1.79
429,1,5.68,56.53,619.5,321,1.93
430,3,3.84,77.07,719.2,296,2.43
431,3,4.73,65.56,653.3,310,2.11
432,3,3.75,71.98,697.5,270,2.58
433,5,6.55,51.44,497.7,337,1.48
434,4,3.28,77.86,704.3,255,2.76
435,2,4.59,61.39,534.7,282,1.9
436,6,5.1,69.78,714.2,356,2.01
437,3,3.76,74.4,682.5,280,2.44
438,2,4.88,66.62,688.5,325,2.12
439,3,5.4,53.53,555.9,289,1.92
440,5,4.84,73.95,685.5,358,1.91
441,5,4.4,58.89,579.1,259,2.24
442,5,6.14,49.19,492.7,302,1.63
443,3,5.33,68.27,601.7,364,1.65
444,3,5.55,63.08,720.2,350,2.06
445,6,6.79,44.35,536.1,301,1.78
446,6,6.79,54.22,563.0,368,1.53
447,6,4.92,70.7,620.9,348,1.78
448,5,5.75,45.18,438.5,260,1.69
449,2,4.07,71.67,646.8,292,2.22
450,5,5.45,57.27,613.8,312,1.97
451,3,4.04,72.99,727.3,295,2.47
452,3,5.27,60.12,662.6,317,2.09
453,5,3.6,69.54,677.9,250,2.71
454,3,4.09,79.89,764.1,327,2.34
455,4,4.58,77.1,685.5,353,1.94
456,6,5.11,44.6,511.6,228,2.24
457,5,4.18,57.44,549.2,240,2.29
458,7,4.78,60.84,597.0,291,2.05
459,1,6.38,51.4,469.1,328,1.43
460,2,4.56,72.0,628.6,328,1.92
461,4,5.36,60.63,685.6,325,2.11
462,3,8.58,39.39,433.0,338,1.28
463,2,4.73,53.54,615.4,253,2.43
464,3,4.4,66.18,694.6,291,2.39
465,2,5.69,56.41,541.7,321,1.69
466,5,4.9,68.38,677.1,335,2.02
467,5,4.58,60.74,640.5,278,2.3
468,6,9.79,40.24,493.6,394,1.25
469,5,4.46,66.57,626.7,297,2.11
470,3,4.92,68.53,656.2,337,1.95
471,2,6.58,44.38,509.2,292,1.74
472,3,8.22,33.22,393.4,273,1.44
473,5,5.32,52.25,581.5,278,2.09
474,3,5.56,67.79,627.3,377,1.66
475,5,4.53,53.38,594.1,242,2.45
476,2,4.61,70.89,656.3,327,2.01
477,5,6.77,51.22,540.1,347,1.56
478,6,6.52,54.89,617.0,358,1.72
479,2,5.0,61.05,631.2,305,2.07
480,7,4.32,60.59,559.1,262,2.13
481,2,5.92,54.54,599.2,323,1.86
482,5,5.09,55.0,594.9,280,2.12
483,5,5.13,60.41,632.0,310,2.04
484,5,4.4,70.5,688.3,310,2.22
485,2,7.05,44.38,420.6,313,1.34
486,4,5.0,68.66,615.1,343,1.79
487,3,4.71,73.41,751.6,346,2.17
488,4,4.57,69.4,681.1,317,2.15
489,3,5.24,56.86,579.5,298,1.94
490,3,5.18,73.03,754.3,378,2.0
491,5,4.57,67.42,666.0,308,2.16
492,4,5.79,57.9,644.9,335,1.93
493,4,6.42,57.46,667.6,369,1.81
494,5,4.77,69.74,647.0,333,1.94
495,5,5.68,52.95,527.1,301,1.75
496,1,6.03,53.43,492.1,322,1.53
497,5,4.38,65.94,657.3,289,2.27
498,4,4.46,55.44,502.5,247,2.03
499,5,5.3,55.99,502.9,297,1.69
500,3,6.48,49.83,557.6,323,1.73
501,5,4.24,75.24,735.9,319,2.31
502,3,4.28,69.21,663.5,296,2.24
503,3,5.09,64.43,652.7,328,1.99
504,6,4.55,63.45,637.2,289,2.2
505,7,4.22,52.57,558.2,222,2.51
506,3,4.81,57.77,618.9,278,2.23
507,3,4.79,68.68,777.4,329,2.36
508,3,5.1,64.29,655.1,328,2.0
509,5,6.08,56.23,549.6,342,1.61
510,4,6.19,50.88,544.3,315,1.73
511,3,4.26,68.03,638.6,290,2.2
512,5,4.93,60.09,627.5,296,2.12
513,5,3.98,67.13,665.0,267,2.49
514,5,4.17,72.18,603.8,301,2.01
515,2,6.83,43.63,449.8,298,1.51
516,5,5.82,53.06,595.5,309,1.93
517,6,5.58,58.07,506.1,324,1.56
518,6,5.0,58.8,575.3,294,1.96
519,3,5.37,55.1,479.2,296,1.62
520,5,4.54,66.59,558.4,302,1.85
521,5,6.31,39.17,482.5,247,1.95
522,5,4.36,73.66,682.6,321,2.13
523,3,9.39,30.04,359.0,282,1.27
524,3,5.87,60.47,483.7,355,1.36
525,6,10.15,32.5,388.8,330,1.18
526,3,4.91,66.18,614.1,325,1.89
527,4,9.4,33.39,450.4,314,1.43
528,2,7.67,45.88,490.0,352,1.39
529,7,6.31,52.8,622.9,333,1.87
530,4,4.69,57.61,606.4,270,2.25
531,5,4.6,58.64,622.2,270,2.3
532,1,3.47,70.08,685.1,243,2.82
533,6,6.72,44.93,374.6,302,1.24
534,5,4.57,71.99,632.6,329,1.92
535,3,6.98,46.86,566.2,327,1.73
536,6,5.47,54.12,527.7,296,1.78
537,2,5.62,51.61,479.0,290,1.65
538,1,5.43,66.5,644.5,361,1.79
539,4,6.77,49.2,551.8,333,1.66
540,5,6.33,45.52,430.6,288,1.5
541,4,4.24,57.28,516.4,243,2.13
542,3,3.82,77.68,770.3,297,2.59
543,5,4.98,67.84,646.1,338,1.91
544,5,7.24,44.92,434.7,325,1.34
545,4,5.37,58.45,658.3,314,2.1
546,3,3.93,78.67,707.9,309,2.29
547,4,4.64,49.13,481.6,228,2.11
548,4,5.58,51.03,607.3,285,2.13
549,6,3.89,69.37,649.5,270,2.41
550,7,5.04,54.22,522.6,273,1.91
551,4,5.19,63.59,553.3,330,1.68
552,5,3.62,82.32,748.7,298,2.51
553,2,9.54,37.53,392.2,358,1.1
554,6,4.99,57.46,569.9,287,1.99
555,3,4.83,54.71,503.1,264,1.91
556,4,4.41,66.39,702.2,293,2.4
557,6,4.55,64.45,654.3,293,2.23
558,2,4.91,64.77,691.1,318,2.17
559,2,6.44,49.98,584.4,322,1.81
560,4,4.9,61.37,653.4,301,2.17
561,4,5.35,61.29,642.7,328,1.96
562,2,4.65,66.81,646.7,311,2.08
563,2,6.46,46.44,485.6,300,1.62
564,4,4.19,73.46,726.3,308,2.36
565,4,4.8,58.75,527.7,282,1.87
566,6,5.33,57.97,652.9,309,2.11
567,5,4.89,60.31,554.9,295,1.88
568,3,3.88,72.64,607.5,282,2.15
569,5,4.84,71.87,670.3,348,1.93
570,5,5.37,58.8,575.9,316,1.82
571,3,7.03,44.95,562.4,316,1.78
572,3,6.61,43.13,486.8,285,1.71
573,5,4.6,69.93,653.2,322,2.03
574,5,3.64,77.54,794.3,282,2.82
575,3,3.5,81.8,707.9,286,2.48
576,5,4.16,67.09,659.9,279,2.37
577,1,6.53,50.23,481.5,328,1.47
578,2,5.02,59.33,565.3,298,1.9
579,4,4.34,73.1,725.4,317,2.29
580,3,4.89,78.19,810.1,382,2.12
581,4,4.57,63.05,567.4,288,1.97
582,6,6.28,51.61,499.2,324,1.54
583,4,4.47,58.8,665.5,263,2.53
584,3,4.03,75.65,721.0,305,2.36
585,5,9.64,35.18,430.9,339,1.27
586,6,5.81,67.01,649.8,389,1.67
587,4,6.9,43.91,415.2,303,1.37
588,6,6.19,48.66,533.4,301,1.77
589,3,7.18,40.09,430.4,288,1.49
590,5,4.2,72.89,688.7,306,2.25
591,4,6.66,50.74,529.3,338,1.57
592,6,6.38,49.82,486.5,318,1.53
593,4,5.15,67.01,640.1,345,1.86
594,5,5.15,64.25,649.8,331,1.96
595,7,6.03,49.94,553.9,301,1.84
596,3,5.1,49.18,491.2,251,1.96
597,4,5.75,49.04,507.4,282,1.8
598,6,6.02,52.16,506.8,314,1.61
599,3,4.55,67.07,671.0,305,2.2
600,3,6.39,48.48,528.2,310,1.7
601,4,5.14,53.16,492.7,273,1.8
602,5,5.12,56.29,517.1,288,1.8
603,3,7.75,46.47,578.9,360,1.61
604,6,6.16,58.74,576.2,362,1.59
605,3,3.6,90.46,825.7,326,2.53
606,4,5.7,57.67,571.3,329,1.74
607,5,5.59,46.86,507.7,262,1.94
608,2,4.73,65.32,655.8,309,2.12
609,2,4.53,56.77,579.6,257,2.26
610,4,5.37,67.45,663.2,362,1.83
611,5,3.58,62.93,659.6,225,2.93
612,1,6.51,57.32,593.2,373,1.59
613,2,4.37,68.15,642.1,298,2.15
614,7,4.65,70.11,658.1,326,2.02
615,2,4.69,58.91,613.3,276,2.22
616,1,6.37,60.95,710.4,388,1.83
617,5,6.5,59.41,629.9,386,1.63
618,5,5.47,55.92,504.4,306,1.65
619,3,3.23,81.81,763.2,264,2.89
620,3,4.66,64.54,666.4,301,2.21
621,7,7.13,43.21,434.7,308,1.41
622,4,6.06,56.42,488.1,342,1.43
623,5,4.89,62.94,633.7,308,2.06
624,7,5.36,58.78,636.3,315,2.02
625,6,5.63,54.02,529.3,304,1.74
626,4,4.6,63.52,614.7,292,2.11
627,5,4.1,70.43,673.7,289,2.33
628,4,6.68,46.26,489.0,309,1.58
629,5,4.26,83.37,750.6,355,2.11
630,6,4.92,61.53,604.7,303,2.0
631,2,5.8,47.97,533.9,278,1.92
